label,month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,chl_norm,sst_suit,month_sin,month_cos
0,2,-57,-172,0.1407795,7.423999879999999,0.0022450536499341,0.0,0.4999999999999999,0.8660254037844387
1,6,38,-74,0.2739211,18.914999833333333,0.0033435611727978,1.0,0.4999999999999999,-0.8660254037844387
1,10,-29,32,0.27791855,22.04499983333333,0.0044738278648642,1.0,-1.0,-1.8369701987210294e-16
1,12,-32,114,0.11159044,20.22999985714285,0.0060810759533991,1.0,-0.5000000000000004,0.8660254037844384
0,3,35,14,0.124614514,15.8874995,0.0016618502904869,0.5774999000000001,0.8660254037844386,0.5000000000000001
0,1,-15,159,0.053233443,30.08,0.0012457364880723,0.5840000000000003,0.0,1.0
0,8,57,-45,0.29194605,9.661666333333336,0.0052325928401093,0.0,-0.4999999999999997,-0.8660254037844388
1,2,-21,112,0.062429056,28.44,0.0009093529350924,0.9119999999999996,0.4999999999999999,0.8660254037844387
0,4,-4,67,0.06851128,30.281666,0.0013912848813619,0.5436667999999998,1.0,6.123233995736766e-17
0,10,26,-157,0.04691072,27.274999833333336,0.0007417222805477,1.0,-1.0,-1.8369701987210294e-16
0,6,33,-180,0.06278897,20.836666333333334,0.0005729277596072,1.0,0.4999999999999999,-0.8660254037844387
0,7,-32,12,0.30805543,17.624999833333334,0.0057788294508778,0.9249999666666668,1.2246467991473532e-16,-1.0
0,5,21,-69,0.030056447,27.689999166666663,0.0003420145191518,1.0,0.8660254037844387,-0.4999999999999998
0,9,76,-1,0.51237065,5.13999995,0.0140405636890578,0.0,-0.8660254037844385,-0.5000000000000004
0,4,-4,0,0.2706261,29.0916665,0.0065436573040801,0.7816667000000003,1.0,6.123233995736766e-17
0,9,-61,-92,0.13990884,2.7433332666666668,0.0037591454127707,0.0,-0.8660254037844385,-0.5000000000000004
0,1,38,-31,0.175531895,17.444999833333334,0.0046698256630402,0.8889999666666668,0.0,1.0
0,12,21,137,0.042966697,28.17428542857143,0.0021881419367619,0.965142914285714,-0.5000000000000004,0.8660254037844384
0,3,-46,-146,0.31178907,13.3737495,0.0043732775261993,0.0747499000000001,0.8660254037844386,0.5000000000000001
0,7,1,134,0.064275175,30.093333166666667,0.0009249755239022,0.5813333666666665,1.2246467991473532e-16,-1.0
0,9,74,-78,0.26403648,3.4166666,0.0071855589462505,0.0,-0.8660254037844385,-0.5000000000000004
0,9,-10,-127,0.14067334,25.3916665,0.0037802486347955,1.0,-0.8660254037844385,-0.5000000000000004
0,11,-41,-178,0.3344074,16.433333333333334,0.0061043519678751,0.6866666666666668,-0.8660254037844386,0.5000000000000001
0,6,38,-141,0.084265046,17.616666499999997,0.0008547528600778,0.9233332999999996,0.4999999999999999,-0.8660254037844387
0,3,-23,-10,0.029714294,25.15999975,0.0002871172782547,1.0,0.8660254037844386,0.5000000000000001
0,10,2,153,0.066387095,30.056666,0.0010563777963358,0.5886668,-1.0,-1.8369701987210294e-16
0,8,-10,-180,0.043982763,29.4849995,0.0004977857830547,0.7030000999999999,-0.4999999999999997,-0.8660254037844388
0,1,-12,166,0.049676048,29.6199995,0.0011461372085116,0.6760001000000002,0.0,1.0
0,11,-12,-171,0.03569516,29.176666666666662,0.0005364819175354,0.7646666666666675,-0.8660254037844386,0.5000000000000001
0,11,-18,-164,0.017712453,27.52499933333333,0.0002012918505688,1.0,-0.8660254037844386,0.5000000000000001
0,4,16,124,0.041202478,28.64999983333333,0.0006951206004731,0.8700000333333342,1.0,6.123233995736766e-17
0,3,-34,-96,0.068455294,21.1949995,0.0008483228437095,1.0,0.8660254037844386,0.5000000000000001
0,2,-18,174,0.04702298,28.7439994,0.0006467136228492,0.85120012,0.4999999999999999,0.8660254037844387
0,8,-2,-95,0.18693921,20.618333,0.0032275092122616,1.0,-0.4999999999999997,-0.8660254037844388
1,4,43,5,0.42803505,16.1066665,0.0105563741007456,0.6213332999999999,1.0,6.123233995736766e-17
0,10,-11,-11,0.097620405,23.6999995,0.0015609754572363,1.0,-1.0,-1.8369701987210294e-16
0,3,-55,-121,0.09694133,6.476249875,0.001260974090217,0.0,0.8660254037844386,0.5000000000000001
