month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,years_with_obs,years_total,sharks_presence_rate,chl_norm,sst_norm,sh_norm,risk_score
5,-33,152,3.168399,20.86499983333333,1.0,1,1,1.0,0.9999999996796367,0.37630855093930715,1.0,1.0
5,-32,115,0.97106045,22.046666166666668,2.0,1,1,1.0,0.2960535057174431,0.45443525065866003,1.0,0.296
5,-23,113,1.7941467,27.273333,1.0,1,1,1.0,0.5597400823334997,0.7999999999471076,1.0,0.56
5,-22,113,0.21504743,27.6716665,1.0,1,1,1.0,0.05385472628094262,0.82633609911892,1.0,0.054
5,-19,177,0.12748022,27.566666166666664,4.0,1,1,1.0,0.02580141129880155,0.8193939283204807,1.0,0.026
5,-19,178,0.15311478,27.416666333333332,58.0,1,1,1.0,0.034013781957962605,0.8094765839685194,1.0,0.034
5,-2,73,0.07230856,30.1633325,1.0,1,1,1.0,0.008126439627697792,0.9910743470419124,1.0,0.008
5,1,73,0.09882875,29.934999666666663,1.0,1,1,1.0,0.016622533581772934,0.9759779613679792,1.0,0.017
5,2,104,0.2218775,30.298333,1.0,1,1,1.0,0.05604282962533457,0.9999999999338843,1.0,0.056
5,3,72,0.17178975,29.741665666666663,1.0,1,1,1.0,0.039996555826080984,0.9631955481456838,1.0,0.04
5,5,72,0.22337191,30.244999333333336,1.0,1,1,1.0,0.056521583652583605,0.9964738070966521,1.0,0.057
5,16,-87,0.06981355,29.181666,1.0,1,1,1.0,0.007327130144004163,0.9261707767982698,1.0,0.007
5,18,-79,0.059636004,28.6199995,1.0,1,1,1.0,0.004066618547446159,0.8890358015941133,1.0,0.004
5,19,-157,0.050570626,25.558333333333334,1.0,1,1,1.0,0.001162404693125894,0.6866115922411056,1.0,0.001
5,19,-82,0.057533976,28.873332666666663,2.0,1,1,1.0,0.003393206049945325,0.9057851018684878,1.0,0.003
5,21,-159,0.056623235,25.9266665,1.0,1,1,1.0,0.003101438113749229,0.7109641983001015,1.0,0.003
5,21,-72,0.04694223,27.958333166666662,1.0,1,1,1.0,0.0,0.8452892671617437,1.0,0.0
